benchmark,problem size,block size,partition mode,kernel iteration,input conversion,kernel execution,output conversion,total time,kernel speedup,total speedup,RMSE%,error rate,error percentage,SSIM,PNSR
mean_2d,4096,512,cg_b,100,117.705,109.386,472.171,699.262,1.31706,0.710446,0.0033054,0.000218771,0.00632006,0.999959,76.6884,
mean_2d,4096,512,gt_b,100,118.012,207.844,415.792,741.649,0.692342,0.66897,0.0236779,0.00511471,0.431769,0.997999,59.586,
mean_2d,4096,512,ct_b,100,116.454,101.269,414.494,632.217,1.43415,0.787649,0.0185058,0.00310324,0.256704,0.998757,61.7267,
mean_2d,4096,1024,cpu,100,30.297,146.093,317.662,494.053,0.999755,1.00876,0,0,0,1,inf,
mean_2d,4096,1024,gpu,100,278.057,128.674,374.993,781.724,1.11254,0.633683,0,0,0,1,inf,
mean_2d,4096,1024,cgt_s,100,397.658,115.091,434.118,946.867,1.31753,0.532155,0.0141939,0.00277928,0.259036,0.999274,64.0309,
mean_2d,4096,1024,cg_s,100,327.805,121.81,452.893,902.508,1.1689,0.54789,0.00218965,9.48958e-05,0.00270057,0.999982,80.2654,
mean_2d,4096,1024,gt_s,100,450.394,183.304,414.431,1048.13,0.778941,0.472213,0.0164399,0.00410422,0.393381,0.999049,62.7549,
mean_2d,4096,1024,ct_s,100,295.802,192.307,369.91,858.019,0.744314,0.577896,0.0164399,0.00410422,0.393381,0.999049,62.7549,
mean_2d,4096,1024,cgt_b,100,98.9535,85.6473,427.063,611.663,1.6886,0.812189,0.0129147,0.00211342,0.194645,0.999394,64.8512,
mean_2d,4096,1024,cg_b,100,99.0724,85.8907,425.66,610.623,1.73941,0.821358,0.012342,0.00215375,0.202242,0.999448,65.2452,
mean_2d,4096,1024,gt_b,100,98.5409,159.27,427.51,685.321,0.894399,0.721765,0.0147717,0.00349218,0.336066,0.999228,63.6843,
mean_2d,4096,1024,ct_b,100,99.1868,104.024,396.308,599.518,1.41736,0.833493,0.0133745,0.00260371,0.245526,0.999357,64.5473,
mean_2d,4096,2048,cpu,100,30.36,144.115,317.657,492.132,1.00004,1.00864,0,0,0,1,inf,
mean_2d,4096,2048,gpu,100,272.442,119.168,375.955,767.566,1.28816,0.660437,0,0,0,1,inf,
